[TIMING] Step 0: total=0.84 ms, inference=0.21 ms
[TIMING] Step 4805: total=0.98 ms, inference=0.05 ms
[TIMING] Step 4806: total=0.99 ms, inference=0.06 ms
[TIMING] Step 4807: total=0.98 ms, inference=0.05 ms
[TIMING] Step 4808: total=0.98 ms, inference=0.05 ms
[TIMING] Step 4809: total=0.98 ms, inference=0.05 ms
[TIMING] Step 4810: total=1.00 ms, inference=0.06 ms
[TIMING] Step 4811: total=0.97 ms, inference=0.06 ms
[TIMING] Step 4812: total=0.98 ms, inference=0.05 ms
[TIMING] Step 4813: total=1.05 ms, inference=0.06 ms
[TIMING] Step 4814: total=0.97 ms, inference=0.07 ms
[TIMING] Step 4815: total=0.93 ms, inference=0.06 ms
[TIMING] Step 4816: total=0.97 ms, inference=0.05 ms
[TIMING] Step 4817: total=0.98 ms, inference=0.05 ms
[TIMING] Step 4818: total=0.99 ms, inference=0.06 ms
[TIMING] Step 4819: total=0.98 ms, inference=0.06 ms
[TIMING] Step 4820: total=0.98 ms, inference=0.06 ms
[TIMING] Step 4821: total=0.98 ms, inference=0.05 ms
[TIMING] Step 4822: total=1.00 ms, inference=0.06 ms
[TIMING] Step 4823: total=0.97 ms, inference=0.05 ms
[TIMING] Step 4824: total=0.98 ms, inference=0.06 ms
[TIMING] Step 4825: total=0.98 ms, inference=0.05 ms
[TIMING] Step 4826: total=0.99 ms, inference=0.06 ms
[TIMING] Step 4827: total=0.98 ms, inference=0.06 ms
[TIMING] Step 4828: total=0.98 ms, inference=0.05 ms
[TIMING] Step 4829: total=0.98 ms, inference=0.06 ms
[TIMING] Step 4830: total=1.02 ms, inference=0.06 ms
[TIMING] Step 4831: total=1.02 ms, inference=0.08 ms
[TIMING] Step 4832: total=0.91 ms, inference=0.06 ms
[TIMING] Step 4833: total=0.97 ms, inference=0.05 ms
[TIMING] Step 4834: total=0.99 ms, inference=0.06 ms
[TIMING] Step 4835: total=0.98 ms, inference=0.06 ms
[TIMING] Step 4836: total=0.98 ms, inference=0.06 ms
[TIMING] Step 4837: total=0.98 ms, inference=0.05 ms
[TIMING] Step 4838: total=0.98 ms, inference=0.05 ms
[TIMING] Step 4839: total=0.99 ms, inference=0.05 ms
[TIMING] Step 4840: total=0.97 ms, inference=0.05 ms
[TIMING] Step 4841: total=0.98 ms, inference=0.05 ms
[TIMING] Step 4842: total=0.99 ms, inference=0.06 ms
[TIMING] Step 4843: total=0.98 ms, inference=0.05 ms
[TIMING] Step 4844: total=0.98 ms, inference=0.05 ms
[TIMING] Step 4845: total=0.98 ms, inference=0.06 ms
[TIMING] Step 4846: total=1.01 ms, inference=0.06 ms
[TIMING] Step 4847: total=1.06 ms, inference=0.08 ms
[TIMING] Step 4848: total=0.88 ms, inference=0.06 ms
[TIMING] Step 4849: total=0.97 ms, inference=0.05 ms
[TIMING] Step 4850: total=0.99 ms, inference=0.06 ms
[TIMING] Step 4851: total=1.03 ms, inference=0.06 ms
[TIMING] Step 4852: total=0.92 ms, inference=0.06 ms
[TIMING] Step 4853: total=1.03 ms, inference=0.06 ms
[TIMING] Step 4854: total=0.95 ms, inference=0.06 ms
[TIMING] Step 4855: total=1.02 ms, inference=0.06 ms
[TIMING] Step 4856: total=0.93 ms, inference=0.06 ms
[TIMING] Step 4857: total=0.98 ms, inference=0.06 ms
[TIMING] Step 4858: total=0.98 ms, inference=0.05 ms
[TIMING] Step 4859: total=0.99 ms, inference=0.05 ms
[TIMING] Step 4860: total=0.98 ms, inference=0.05 ms
[TIMING] Step 4861: total=0.99 ms, inference=0.05 ms
[TIMING] Step 4862: total=0.98 ms, inference=0.06 ms
[TIMING] Step 4863: total=0.98 ms, inference=0.06 ms
[TIMING] Step 4864: total=1.09 ms, inference=0.07 ms
[TIMING] Step 4865: total=0.89 ms, inference=0.06 ms
[TIMING] Step 4866: total=0.96 ms, inference=0.06 ms
[TIMING] Step 4867: total=0.98 ms, inference=0.05 ms
[TIMING] Step 4868: total=0.98 ms, inference=0.05 ms
[TIMING] Step 4869: total=0.98 ms, inference=0.05 ms
[TIMING] Step 4870: total=0.99 ms, inference=0.06 ms
[TIMING] Step 4871: total=0.98 ms, inference=0.05 ms
[TIMING] Step 4872: total=0.98 ms, inference=0.05 ms
[TIMING] Step 4873: total=0.98 ms, inference=0.05 ms
[TIMING] Step 4874: total=0.99 ms, inference=0.05 ms
[TIMING] Step 4875: total=1.00 ms, inference=0.06 ms
[TIMING] Step 4876: total=0.96 ms, inference=0.06 ms
[TIMING] Step 4877: total=0.98 ms, inference=0.06 ms
[TIMING] Step 4878: total=0.99 ms, inference=0.06 ms
[TIMING] Step 4879: total=1.52 ms, inference=0.17 ms
[TIMING] Step 4880: total=0.75 ms, inference=0.14 ms
[TIMING] Step 4881: total=0.86 ms, inference=0.11 ms
[TIMING] Step 4882: total=0.86 ms, inference=0.09 ms
[TIMING] Step 4883: total=0.98 ms, inference=0.09 ms
[TIMING] Step 4884: total=1.20 ms, inference=0.14 ms
[TIMING] Step 4885: total=0.76 ms, inference=0.10 ms
[TIMING] Step 4886: total=1.04 ms, inference=0.10 ms
[TIMING] Step 4887: total=1.05 ms, inference=0.12 ms
[TIMING] Step 4888: total=0.85 ms, inference=0.09 ms
[TIMING] Step 4889: total=0.93 ms, inference=0.07 ms
[TIMING] Step 4890: total=1.26 ms, inference=0.13 ms
[TIMING] Step 4891: total=0.87 ms, inference=0.12 ms
[TIMING] Step 4892: total=0.79 ms, inference=0.08 ms
[TIMING] Step 4893: total=0.87 ms, inference=0.07 ms
[TIMING] Step 4894: total=1.07 ms, inference=0.08 ms
[TIMING] Step 4895: total=1.25 ms, inference=0.16 ms
[TIMING] Step 4896: total=0.85 ms, inference=0.12 ms
[TIMING] Step 4897: total=0.96 ms, inference=0.12 ms
[TIMING] Step 4898: total=0.90 ms, inference=0.10 ms
[TIMING] Step 4899: total=0.89 ms, inference=0.09 ms
[TIMING] Step 4900: total=0.51 ms, inference=0.09 ms
[TIMING] Step 4901: total=0.94 ms, inference=0.09 ms
[TIMING] Step 4902: total=1.16 ms, inference=0.10 ms
[TIMING] Step 4903: total=0.79 ms, inference=0.09 ms
[TIMING] Step 4904: total=0.96 ms, inference=0.08 ms
[TIMING] Step 4905: total=1.04 ms, inference=0.10 ms
[TIMING] Step 4906: total=1.11 ms, inference=0.12 ms
[TIMING] Step 4907: total=1.09 ms, inference=0.15 ms
[TIMING] Step 4908: total=0.85 ms, inference=0.14 ms
[TIMING] Step 4909: total=1.03 ms, inference=0.15 ms
[TIMING] Step 4910: total=0.98 ms, inference=0.15 ms
[TIMING] Step 4911: total=0.92 ms, inference=0.14 ms
[TIMING] Step 4912: total=1.04 ms, inference=0.16 ms
[TIMING] Step 4913: total=1.30 ms, inference=0.16 ms
[TIMING] Step 4914: total=0.72 ms, inference=0.16 ms
[TIMING] Step 4915: total=0.82 ms, inference=0.15 ms
[TIMING] Step 4916: total=1.30 ms, inference=0.15 ms
[TIMING] Step 4917: total=0.70 ms, inference=0.15 ms
[TIMING] Step 4918: total=0.70 ms, inference=0.12 ms
[TIMING] Step 4919: total=0.78 ms, inference=0.08 ms
[TIMING] Step 4920: total=0.98 ms, inference=0.07 ms
[TIMING] Step 4921: total=1.02 ms, inference=0.08 ms
[TIMING] Step 4922: total=0.99 ms, inference=0.09 ms
[TIMING] Step 4923: total=0.97 ms, inference=0.08 ms
[TIMING] Step 4924: total=1.02 ms, inference=0.09 ms
[TIMING] Step 4925: total=0.96 ms, inference=0.09 ms
[TIMING] Step 4926: total=1.03 ms, inference=0.10 ms
[TIMING] Step 4927: total=0.95 ms, inference=0.10 ms
[TIMING] Step 4928: total=0.99 ms, inference=0.10 ms
[TIMING] Step 4929: total=0.94 ms, inference=0.10 ms
[TIMING] Step 4930: total=1.14 ms, inference=0.13 ms
[TIMING] Step 4931: total=0.87 ms, inference=0.11 ms
[TIMING] Step 4932: total=0.92 ms, inference=0.10 ms
[TIMING] Step 4933: total=0.94 ms, inference=0.09 ms
[TIMING] Step 4934: total=0.99 ms, inference=0.10 ms
[TIMING] Step 4935: total=0.96 ms, inference=0.10 ms
[TIMING] Step 4936: total=0.92 ms, inference=0.08 ms
[TIMING] Step 4937: total=0.98 ms, inference=0.08 ms
[TIMING] Step 4938: total=1.05 ms, inference=0.10 ms
[TIMING] Step 4939: total=0.96 ms, inference=0.09 ms
[TIMING] Step 4940: total=0.95 ms, inference=0.09 ms
[TIMING] Step 4941: total=0.99 ms, inference=0.10 ms
[TIMING] Step 4942: total=1.00 ms, inference=0.10 ms
[TIMING] Step 4943: total=0.94 ms, inference=0.10 ms
[TIMING] Step 4944: total=0.94 ms, inference=0.09 ms
[TIMING] Step 4945: total=1.00 ms, inference=0.09 ms
[TIMING] Step 4946: total=1.08 ms, inference=0.11 ms
[TIMING] Step 4947: total=1.00 ms, inference=0.13 ms
[TIMING] Step 4948: total=0.82 ms, inference=0.10 ms
[TIMING] Step 4949: total=1.03 ms, inference=0.11 ms
[TIMING] Step 4950: total=0.91 ms, inference=0.09 ms
[TIMING] Step 4951: total=1.01 ms, inference=0.10 ms
[TIMING] Step 4952: total=0.96 ms, inference=0.10 ms
[TIMING] Step 4953: total=0.96 ms, inference=0.09 ms
[TIMING] Step 4954: total=0.99 ms, inference=0.09 ms
[TIMING] Step 4955: total=0.99 ms, inference=0.10 ms
[TIMING] Step 4956: total=0.97 ms, inference=0.10 ms
[TIMING] Step 4957: total=0.94 ms, inference=0.09 ms
[TIMING] Step 4958: total=1.05 ms, inference=0.10 ms
[TIMING] Step 4959: total=0.93 ms, inference=0.10 ms
[TIMING] Step 4960: total=0.97 ms, inference=0.09 ms
[TIMING] Step 4961: total=0.97 ms, inference=0.10 ms
[TIMING] Step 4962: total=0.99 ms, inference=0.10 ms
[TIMING] Step 4963: total=1.01 ms, inference=0.10 ms
[TIMING] Step 4964: total=1.15 ms, inference=0.14 ms
[TIMING] Step 4965: total=1.09 ms, inference=0.16 ms
[TIMING] Step 4966: total=0.93 ms, inference=0.18 ms
[TIMING] Step 4967: total=0.89 ms, inference=0.16 ms
[TIMING] Step 4968: total=1.07 ms, inference=0.16 ms
[TIMING] Step 4969: total=0.79 ms, inference=0.15 ms
[TIMING] Step 4970: total=1.00 ms, inference=0.15 ms
[TIMING] Step 4971: total=0.91 ms, inference=0.15 ms
[TIMING] Step 4972: total=1.00 ms, inference=0.15 ms
[TIMING] Step 4973: total=1.06 ms, inference=0.16 ms
[TIMING] Step 4974: total=0.64 ms, inference=0.11 ms
[TIMING] Step 4975: total=0.94 ms, inference=0.11 ms
[TIMING] Step 4976: total=0.95 ms, inference=0.10 ms
[TIMING] Step 4977: total=1.01 ms, inference=0.11 ms
[TIMING] Step 4978: total=1.02 ms, inference=0.11 ms
[TIMING] Step 4979: total=0.91 ms, inference=0.10 ms
[TIMING] Step 4980: total=1.22 ms, inference=0.16 ms
[TIMING] Step 4981: total=0.72 ms, inference=0.11 ms
[TIMING] Step 4982: total=0.98 ms, inference=0.11 ms
[TIMING] Step 4983: total=0.94 ms, inference=0.11 ms
[TIMING] Step 4984: total=0.98 ms, inference=0.10 ms
[TIMING] Step 4985: total=1.09 ms, inference=0.13 ms
[TIMING] Step 4986: total=0.90 ms, inference=0.12 ms
[TIMING] Step 4987: total=0.92 ms, inference=0.11 ms
[TIMING] Step 4988: total=0.96 ms, inference=0.11 ms
[TIMING] Step 4989: total=0.92 ms, inference=0.09 ms
[TIMING] Step 4990: total=1.05 ms, inference=0.11 ms
[TIMING] Step 4991: total=0.93 ms, inference=0.11 ms
[TIMING] Step 4992: total=0.88 ms, inference=0.08 ms
[TIMING] Step 4993: total=0.92 ms, inference=0.07 ms
[TIMING] Step 4994: total=0.98 ms, inference=0.07 ms
[TIMING] Step 4995: total=1.09 ms, inference=0.08 ms
[TIMING] Step 4996: total=0.94 ms, inference=0.08 ms
[TIMING] Step 4997: total=1.31 ms, inference=0.16 ms
[TIMING] Step 4998: total=0.83 ms, inference=0.14 ms
[TIMING] Step 4999: total=0.98 ms, inference=0.13 ms
[TIMING] Step 0: total=0.81 ms, inference=0.18 ms
[TIMING] Step 1: total=0.36 ms, inference=0.07 ms
[TIMING] Step 2: total=0.32 ms, inference=0.05 ms
[TIMING] Step 3: total=0.32 ms, inference=0.05 ms
[TIMING] Step 4: total=0.34 ms, inference=0.06 ms
[TIMING] Step 5: total=0.37 ms, inference=0.07 ms
[TIMING] Step 6: total=0.42 ms, inference=0.07 ms
[TIMING] Step 7: total=0.39 ms, inference=0.07 ms
[TIMING] Step 8: total=0.40 ms, inference=0.08 ms
[TIMING] Step 9: total=0.42 ms, inference=0.07 ms
[TIMING] Step 10: total=0.47 ms, inference=0.10 ms
[TIMING] Step 11: total=0.38 ms, inference=0.08 ms
[TIMING] Step 12: total=0.33 ms, inference=0.06 ms
[TIMING] Step 13: total=0.32 ms, inference=0.06 ms
[TIMING] Step 14: total=0.32 ms, inference=0.05 ms
[TIMING] Step 15: total=0.32 ms, inference=0.06 ms
[TIMING] Step 16: total=0.32 ms, inference=0.05 ms
[TIMING] Step 17: total=0.32 ms, inference=0.06 ms
[TIMING] Step 18: total=0.32 ms, inference=0.06 ms
[TIMING] Step 19: total=0.31 ms, inference=0.05 ms
[TIMING] Step 20: total=0.32 ms, inference=0.05 ms
[TIMING] Step 21: total=0.31 ms, inference=0.05 ms
[TIMING] Step 22: total=0.34 ms, inference=0.06 ms
[TIMING] Step 23: total=0.32 ms, inference=0.06 ms
[TIMING] Step 24: total=0.32 ms, inference=0.05 ms
[TIMING] Step 25: total=0.32 ms, inference=0.05 ms
[TIMING] Step 26: total=0.32 ms, inference=0.05 ms
[TIMING] Step 27: total=0.33 ms, inference=0.06 ms
[TIMING] Step 28: total=0.36 ms, inference=0.06 ms
[TIMING] Step 29: total=0.33 ms, inference=0.06 ms
[TIMING] Step 30: total=0.32 ms, inference=0.05 ms
[TIMING] Step 31: total=0.33 ms, inference=0.06 ms
[TIMING] Step 32: total=0.35 ms, inference=0.06 ms
[TIMING] Step 33: total=0.32 ms, inference=0.06 ms
[TIMING] Step 34: total=0.32 ms, inference=0.06 ms
[TIMING] Step 35: total=0.32 ms, inference=0.06 ms
[TIMING] Step 36: total=0.37 ms, inference=0.07 ms
[TIMING] Step 37: total=0.33 ms, inference=0.06 ms
[TIMING] Step 38: total=0.32 ms, inference=0.06 ms
[TIMING] Step 39: total=0.32 ms, inference=0.05 ms
[TIMING] Step 40: total=0.33 ms, inference=0.06 ms
[TIMING] Step 41: total=0.32 ms, inference=0.06 ms
[TIMING] Step 42: total=0.32 ms, inference=0.05 ms
[TIMING] Step 43: total=0.32 ms, inference=0.06 ms
[TIMING] Step 44: total=0.34 ms, inference=0.06 ms
[TIMING] Step 45: total=0.34 ms, inference=0.06 ms
[TIMING] Step 46: total=0.35 ms, inference=0.06 ms
[TIMING] Step 47: total=0.40 ms, inference=0.07 ms
[TIMING] Step 48: total=0.42 ms, inference=0.09 ms
[TIMING] Step 49: total=0.39 ms, inference=0.07 ms
[TIMING] Step 50: total=0.44 ms, inference=0.07 ms
[TIMING] Step 51: total=0.45 ms, inference=0.09 ms
[TIMING] Step 52: total=0.41 ms, inference=0.08 ms
[TIMING] Step 53: total=0.37 ms, inference=0.07 ms
[TIMING] Step 54: total=0.35 ms, inference=0.06 ms
[TIMING] Step 55: total=0.34 ms, inference=0.06 ms
[TIMING] Step 56: total=0.34 ms, inference=0.06 ms
[TIMING] Step 57: total=0.35 ms, inference=0.06 ms
[TIMING] Step 58: total=0.35 ms, inference=0.06 ms
[TIMING] Step 59: total=0.36 ms, inference=0.07 ms
[TIMING] Step 60: total=0.42 ms, inference=0.07 ms
[TIMING] Step 61: total=0.38 ms, inference=0.08 ms
[TIMING] Step 62: total=0.38 ms, inference=0.07 ms
[TIMING] Step 63: total=0.41 ms, inference=0.08 ms
[TIMING] Step 64: total=0.40 ms, inference=0.08 ms
[TIMING] Step 65: total=0.35 ms, inference=0.07 ms
[TIMING] Step 66: total=0.32 ms, inference=0.06 ms
[TIMING] Step 67: total=0.32 ms, inference=0.05 ms
[TIMING] Step 68: total=0.35 ms, inference=0.06 ms
[TIMING] Step 69: total=0.34 ms, inference=0.06 ms
[TIMING] Step 70: total=0.33 ms, inference=0.06 ms
[TIMING] Step 71: total=0.37 ms, inference=0.06 ms
[TIMING] Step 72: total=0.32 ms, inference=0.05 ms
[TIMING] Step 73: total=0.33 ms, inference=0.06 ms
[TIMING] Step 74: total=0.33 ms, inference=0.06 ms
[TIMING] Step 75: total=0.33 ms, inference=0.06 ms
[TIMING] Step 76: total=0.32 ms, inference=0.06 ms
[TIMING] Step 77: total=0.32 ms, inference=0.05 ms
[TIMING] Step 78: total=0.32 ms, inference=0.05 ms
[TIMING] Step 79: total=0.32 ms, inference=0.06 ms
[TIMING] Step 80: total=0.33 ms, inference=0.06 ms
[TIMING] Step 81: total=0.35 ms, inference=0.06 ms
[TIMING] Step 82: total=0.62 ms, inference=0.26 ms
[TIMING] Step 83: total=0.45 ms, inference=0.07 ms
[TIMING] Step 84: total=0.38 ms, inference=0.08 ms
[TIMING] Step 85: total=0.35 ms, inference=0.06 ms
[TIMING] Step 86: total=0.32 ms, inference=0.05 ms
[TIMING] Step 87: total=0.34 ms, inference=0.06 ms
[TIMING] Step 88: total=0.34 ms, inference=0.06 ms
[TIMING] Step 89: total=0.33 ms, inference=0.06 ms
[TIMING] Step 90: total=0.32 ms, inference=0.06 ms
[TIMING] Step 91: total=0.32 ms, inference=0.05 ms
[TIMING] Step 92: total=0.38 ms, inference=0.06 ms
[TIMING] Step 93: total=0.34 ms, inference=0.06 ms
[TIMING] Step 94: total=0.37 ms, inference=0.06 ms
[TIMING] Step 95: total=0.37 ms, inference=0.07 ms
[TIMING] Step 96: total=0.34 ms, inference=0.06 ms
[TIMING] Step 97: total=0.33 ms, inference=0.06 ms
[TIMING] Step 98: total=0.33 ms, inference=0.06 ms
[TIMING] Step 99: total=0.36 ms, inference=0.06 ms
[TIMING] Step 100: total=0.49 ms, inference=0.11 ms
[TIMING] Step 101: total=0.39 ms, inference=0.06 ms
[TIMING] Step 102: total=0.33 ms, inference=0.06 ms
[TIMING] Step 103: total=0.32 ms, inference=0.06 ms
[TIMING] Step 104: total=0.32 ms, inference=0.05 ms
[TIMING] Step 105: total=0.32 ms, inference=0.05 ms
[TIMING] Step 106: total=0.32 ms, inference=0.05 ms
[TIMING] Step 107: total=0.32 ms, inference=0.05 ms
[TIMING] Step 108: total=0.32 ms, inference=0.05 ms
[TIMING] Step 109: total=0.32 ms, inference=0.06 ms
[TIMING] Step 110: total=0.32 ms, inference=0.05 ms
[TIMING] Step 111: total=0.32 ms, inference=0.06 ms
[TIMING] Step 112: total=0.32 ms, inference=0.05 ms
[TIMING] Step 113: total=0.34 ms, inference=0.06 ms
[TIMING] Step 114: total=0.32 ms, inference=0.06 ms
[TIMING] Step 115: total=0.32 ms, inference=0.06 ms
[TIMING] Step 116: total=0.32 ms, inference=0.05 ms
[TIMING] Step 117: total=0.32 ms, inference=0.06 ms
[TIMING] Step 118: total=0.31 ms, inference=0.05 ms
[TIMING] Step 119: total=0.32 ms, inference=0.05 ms
[TIMING] Step 120: total=0.32 ms, inference=0.05 ms
[TIMING] Step 121: total=0.32 ms, inference=0.06 ms
[TIMING] Step 122: total=0.32 ms, inference=0.06 ms
[TIMING] Step 123: total=0.32 ms, inference=0.06 ms
[TIMING] Step 124: total=0.35 ms, inference=0.06 ms
[TIMING] Step 125: total=0.34 ms, inference=0.06 ms
[TIMING] Step 126: total=0.32 ms, inference=0.06 ms
[TIMING] Step 127: total=0.33 ms, inference=0.06 ms
[TIMING] Step 128: total=0.32 ms, inference=0.06 ms
[TIMING] Step 129: total=0.32 ms, inference=0.05 ms
[TIMING] Step 130: total=0.32 ms, inference=0.06 ms
[TIMING] Step 131: total=0.32 ms, inference=0.05 ms
[TIMING] Step 132: total=0.32 ms, inference=0.05 ms
[TIMING] Step 133: total=0.32 ms, inference=0.06 ms
[TIMING] Step 134: total=0.32 ms, inference=0.05 ms
[TIMING] Step 135: total=0.32 ms, inference=0.05 ms
[TIMING] Step 136: total=0.36 ms, inference=0.06 ms
[TIMING] Step 137: total=0.33 ms, inference=0.06 ms
[TIMING] Step 138: total=0.32 ms, inference=0.05 ms
[TIMING] Step 139: total=0.32 ms, inference=0.05 ms
[TIMING] Step 140: total=0.32 ms, inference=0.05 ms
[TIMING] Step 141: total=0.66 ms, inference=0.08 ms
[TIMING] Step 142: total=0.89 ms, inference=0.06 ms
[TIMING] Step 143: total=1.00 ms, inference=0.06 ms
[TIMING] Step 144: total=0.92 ms, inference=0.06 ms
[TIMING] Step 145: total=1.01 ms, inference=0.06 ms
[TIMING] Step 146: total=0.94 ms, inference=0.06 ms
[TIMING] Step 147: total=1.03 ms, inference=0.06 ms
[TIMING] Step 148: total=0.93 ms, inference=0.06 ms
[TIMING] Step 149: total=0.98 ms, inference=0.06 ms
[TIMING] Step 150: total=0.97 ms, inference=0.06 ms
[TIMING] Step 151: total=0.99 ms, inference=0.06 ms
[TIMING] Step 152: total=0.97 ms, inference=0.06 ms
[TIMING] Step 153: total=1.00 ms, inference=0.06 ms
[TIMING] Step 154: total=0.97 ms, inference=0.06 ms
[TIMING] Step 155: total=0.99 ms, inference=0.06 ms
[TIMING] Step 156: total=1.05 ms, inference=0.08 ms
[TIMING] Step 157: total=0.98 ms, inference=0.07 ms
[TIMING] Step 158: total=0.94 ms, inference=0.07 ms
[TIMING] Step 159: total=0.97 ms, inference=0.06 ms
[TIMING] Step 160: total=0.96 ms, inference=0.06 ms
[TIMING] Step 161: total=0.98 ms, inference=0.06 ms
[TIMING] Step 162: total=0.98 ms, inference=0.06 ms
[TIMING] Step 163: total=0.99 ms, inference=0.06 ms
[TIMING] Step 164: total=0.98 ms, inference=0.06 ms
[TIMING] Step 165: total=0.98 ms, inference=0.06 ms
[TIMING] Step 166: total=0.98 ms, inference=0.06 ms
[TIMING] Step 167: total=1.00 ms, inference=0.06 ms
[TIMING] Step 168: total=0.97 ms, inference=0.06 ms
[TIMING] Step 169: total=0.99 ms, inference=0.06 ms
[TIMING] Step 170: total=1.00 ms, inference=0.06 ms
[TIMING] Step 171: total=0.98 ms, inference=0.06 ms
[TIMING] Step 172: total=0.97 ms, inference=0.06 ms
[TIMING] Step 173: total=0.98 ms, inference=0.06 ms
[TIMING] Step 174: total=1.04 ms, inference=0.06 ms
[TIMING] Step 175: total=1.03 ms, inference=0.08 ms
[TIMING] Step 176: total=0.89 ms, inference=0.06 ms
[TIMING] Step 177: total=0.97 ms, inference=0.06 ms
[TIMING] Step 178: total=0.98 ms, inference=0.06 ms
[TIMING] Step 179: total=1.15 ms, inference=0.06 ms
[TIMING] Step 180: total=0.83 ms, inference=0.06 ms
[TIMING] Step 181: total=0.97 ms, inference=0.06 ms
[TIMING] Step 182: total=0.97 ms, inference=0.06 ms
[TIMING] Step 183: total=1.00 ms, inference=0.06 ms
[TIMING] Step 184: total=0.98 ms, inference=0.06 ms
[TIMING] Step 185: total=0.98 ms, inference=0.06 ms
[TIMING] Step 186: total=0.97 ms, inference=0.06 ms
[TIMING] Step 187: total=1.02 ms, inference=0.06 ms
[TIMING] Step 188: total=0.95 ms, inference=0.06 ms
[TIMING] Step 189: total=0.99 ms, inference=0.06 ms
[TIMING] Step 190: total=0.99 ms, inference=0.06 ms
[TIMING] Step 191: total=1.11 ms, inference=0.08 ms
[TIMING] Step 192: total=0.88 ms, inference=0.07 ms
[TIMING] Step 193: total=0.94 ms, inference=0.06 ms
[TIMING] Step 194: total=0.98 ms, inference=0.06 ms
[TIMING] Step 195: total=1.00 ms, inference=0.06 ms
[TIMING] Step 196: total=0.97 ms, inference=0.06 ms
[TIMING] Step 197: total=0.98 ms, inference=0.06 ms
[TIMING] Step 198: total=0.98 ms, inference=0.06 ms
[TIMING] Step 199: total=1.00 ms, inference=0.06 ms
[TIMING] Step 200: total=0.55 ms, inference=0.08 ms
[TIMING] Step 201: total=0.90 ms, inference=0.06 ms
[TIMING] Step 202: total=0.97 ms, inference=0.06 ms
[TIMING] Step 203: total=1.01 ms, inference=0.06 ms
[TIMING] Step 204: total=0.97 ms, inference=0.06 ms
[TIMING] Step 205: total=0.97 ms, inference=0.06 ms
[TIMING] Step 206: total=0.98 ms, inference=0.06 ms
[TIMING] Step 207: total=1.01 ms, inference=0.06 ms
[TIMING] Step 208: total=1.08 ms, inference=0.08 ms
[TIMING] Step 209: total=0.88 ms, inference=0.06 ms
[TIMING] Step 210: total=1.00 ms, inference=0.07 ms
[TIMING] Step 211: total=0.96 ms, inference=0.06 ms
[TIMING] Step 212: total=0.97 ms, inference=0.06 ms
[TIMING] Step 213: total=0.97 ms, inference=0.06 ms
[TIMING] Step 214: total=0.99 ms, inference=0.06 ms
[TIMING] Step 215: total=1.00 ms, inference=0.06 ms
[TIMING] Step 216: total=0.97 ms, inference=0.06 ms
[TIMING] Step 217: total=0.98 ms, inference=0.06 ms
[TIMING] Step 218: total=0.98 ms, inference=0.06 ms
[TIMING] Step 219: total=1.00 ms, inference=0.06 ms
[TIMING] Step 220: total=0.96 ms, inference=0.06 ms
[TIMING] Step 221: total=1.06 ms, inference=0.06 ms
[TIMING] Step 222: total=0.90 ms, inference=0.06 ms
[TIMING] Step 223: total=1.02 ms, inference=0.05 ms
[TIMING] Step 224: total=1.05 ms, inference=0.08 ms
[TIMING] Step 225: total=0.88 ms, inference=0.06 ms
[TIMING] Step 226: total=0.96 ms, inference=0.06 ms
[TIMING] Step 227: total=1.00 ms, inference=0.06 ms
[TIMING] Step 228: total=1.02 ms, inference=0.06 ms
[TIMING] Step 229: total=0.98 ms, inference=0.06 ms
[TIMING] Step 230: total=0.93 ms, inference=0.05 ms
[TIMING] Step 231: total=0.99 ms, inference=0.05 ms
[TIMING] Step 232: total=0.97 ms, inference=0.06 ms
[TIMING] Step 233: total=0.98 ms, inference=0.06 ms
[TIMING] Step 234: total=0.98 ms, inference=0.06 ms
[TIMING] Step 235: total=1.00 ms, inference=0.05 ms
[TIMING] Step 236: total=0.97 ms, inference=0.06 ms
[TIMING] Step 237: total=0.99 ms, inference=0.06 ms
[TIMING] Step 238: total=1.00 ms, inference=0.06 ms
[TIMING] Step 239: total=0.99 ms, inference=0.06 ms
[TIMING] Step 240: total=0.98 ms, inference=0.06 ms
[TIMING] Step 241: total=1.06 ms, inference=0.07 ms
[TIMING] Step 242: total=0.90 ms, inference=0.06 ms
[TIMING] Step 243: total=0.98 ms, inference=0.06 ms
[TIMING] Step 244: total=0.97 ms, inference=0.06 ms
[TIMING] Step 245: total=0.97 ms, inference=0.06 ms
[TIMING] Step 246: total=0.98 ms, inference=0.05 ms
[TIMING] Step 247: total=1.24 ms, inference=0.10 ms
[TIMING] Step 248: total=0.87 ms, inference=0.10 ms
[TIMING] Step 249: total=0.94 ms, inference=0.09 ms
[TIMING] Step 250: total=1.02 ms, inference=0.10 ms
[TIMING] Step 251: total=1.03 ms, inference=0.10 ms
[TIMING] Step 252: total=0.91 ms, inference=0.11 ms
[TIMING] Step 253: total=0.91 ms, inference=0.07 ms
[TIMING] Step 254: total=0.94 ms, inference=0.06 ms
[TIMING] Step 255: total=1.02 ms, inference=0.05 ms
[TIMING] Step 256: total=0.89 ms, inference=0.06 ms
[TIMING] Step 257: total=1.06 ms, inference=0.07 ms
[TIMING] Step 258: total=0.94 ms, inference=0.07 ms
[TIMING] Step 259: total=0.95 ms, inference=0.06 ms
[TIMING] Step 260: total=0.96 ms, inference=0.06 ms
[TIMING] Step 261: total=0.97 ms, inference=0.06 ms
[TIMING] Step 262: total=0.99 ms, inference=0.06 ms
[TIMING] Step 263: total=1.07 ms, inference=0.06 ms
